epoch,novelty_rate,novelty_source_count,genome_entropy,domain_entropy,extinctions,total_knowledge,is_monoculture
153,-6,5,0.0,0.0,0,4,true
154,4,4,0.0,0.0,0,8,true
155,-1,5,0.0,0.0,0,7,true
156,3,5,0.0,0.0,0,10,true
157,-2,5,0.0,0.0,0,8,true
158,2,5,0.0,0.0,0,10,true
159,-4,5,0.0,0.0,0,6,true
160,3,5,0.0,0.0,0,9,true
161,-5,5,0.0,0.0,0,4,true
162,5,5,0.0,0.0,0,9,true
163,-4,5,0.0,0.0,0,5,true
164,4,3,0.0,0.0,0,9,true
165,-4,5,0.0,0.0,0,5,true
166,1,5,0.0,0.0,0,6,true
167,0,5,0.0,0.0,0,6,true
168,3,5,0.0,0.0,0,9,true
169,-4,5,0.0,0.0,0,5,true
170,-2,5,0.0,0.0,0,3,true
171,6,5,0.0,0.0,0,9,true
172,-6,5,0.0,0.0,0,3,true
173,5,5,0.0,0.0,0,8,true
174,-5,5,0.0,0.0,0,3,true
175,-1,5,0.0,0.0,0,2,true
176,8,5,0.0,0.0,0,10,true
177,-9,5,0.0,0.0,0,1,true
178,1,5,0.0,0.0,0,2,true
179,5,5,0.0,0.0,0,7,true
180,1,5,0.0,0.0,0,8,true
181,2,5,0.0,0.0,0,10,true
182,-7,5,0.0,0.0,0,3,true
183,3,5,0.0,0.0,0,6,true
184,-3,5,0.0,0.0,0,3,true
185,6,5,0.0,0.0,0,9,true
186,-7,5,0.0,0.0,0,2,true
187,6,5,0.0,0.0,0,8,true
188,-7,5,0.0,0.0,0,1,true
189,8,5,0.0,0.0,0,9,true
190,-1,5,0.0,0.0,0,8,true
191,-5,5,0.0,0.0,0,3,true
192,-2,5,0.0,0.0,0,1,true
193,7,5,0.0,0.0,0,8,true
194,-4,5,0.0,0.0,0,4,true
195,3,5,0.0,0.0,0,7,true
196,0,5,0.0,0.0,0,7,true
197,-6,5,0.0,0.0,0,1,true
198,8,5,0.0,0.0,0,9,true
199,-1,5,0.0,0.0,0,8,true
200,-2,5,0.0,0.0,0,6,true
201,-2,5,0.0,0.0,0,4,true
202,-2,5,0.0,0.0,0,2,true
203,2,5,0.0,0.0,0,4,true
204,-1,5,0.0,0.0,0,3,true
205,1,5,0.0,0.0,0,4,true
206,6,5,0.0,0.0,0,10,true
207,-9,5,0.0,0.0,0,1,true
208,8,5,0.0,0.0,0,9,true
209,-2,5,0.0,0.0,0,7,true
210,-6,5,0.0,0.0,0,1,true
211,2,5,0.0,0.0,0,3,true
212,5,5,0.0,0.0,0,8,true
213,-7,5,0.0,0.0,0,1,true
214,7,5,0.0,0.0,0,8,true
215,2,5,0.0,0.0,0,10,true
216,-4,5,0.0,0.0,0,6,true
217,2,5,0.0,0.0,0,8,true
218,-4,5,0.0,0.0,0,4,true
219,6,5,0.0,0.0,0,10,true
220,-1,5,0.0,0.0,0,9,true
221,-3,5,0.0,0.0,0,6,true
222,0,5,0.0,0.0,0,6,true
223,1,5,0.0,0.0,0,7,true
224,-1,5,0.0,0.0,0,6,true
225,-1,5,0.0,0.0,0,5,true
226,2,5,0.0,0.0,0,7,true
227,-6,5,0.0,0.0,0,1,true
228,3,5,0.0,0.0,0,4,true
229,-1,5,0.0,0.0,0,3,true
230,5,5,0.0,0.0,0,8,true
231,-3,4,0.0,0.0,0,5,true
232,2,5,0.0,0.0,0,7,true
233,-1,5,0.0,0.0,0,6,true
234,2,5,0.0,0.0,0,8,true
235,2,5,0.0,0.0,0,10,true
236,-5,5,0.0,0.0,0,5,true
237,1,5,0.0,0.0,0,6,true
238,2,5,0.0,0.0,0,8,true
239,-2,5,0.0,0.0,0,6,true
240,-5,5,0.0,0.0,0,1,true
241,5,5,0.0,0.0,0,6,true
242,-2,5,0.0,0.0,0,4,true
243,2,5,0.0,0.0,0,6,true
244,-5,5,0.0,0.0,0,1,true
245,0,5,0.0,0.0,0,1,true
246,4,5,0.0,0.0,0,5,true
247,2,5,0.0,0.0,0,7,true
248,2,5,0.0,0.0,0,9,true
249,0,5,0.0,0.0,0,9,true
250,-1,5,0.0,0.0,0,8,true
251,-2,5,0.0,0.0,0,6,true
252,4,5,0.0,0.0,0,10,true
253,-2,5,0.0,0.0,0,8,true
254,-6,4,0.0,0.0,0,2,true
255,4,5,0.0,0.0,0,6,true
256,-1,5,0.0,0.0,0,5,true
257,1,5,0.0,0.0,0,6,true
258,4,5,0.0,0.0,0,10,true
259,-2,5,0.0,0.0,0,8,true
260,-7,4,0.0,0.0,0,1,true
261,9,5,0.0,0.0,0,10,true
262,-8,5,0.0,0.0,0,2,true
263,0,5,0.0,0.0,0,2,true
264,5,5,0.0,0.0,0,7,true
265,-5,5,0.0,0.0,0,2,true
266,2,5,0.0,0.0,0,4,true
267,3,5,0.0,0.0,0,7,true
268,-1,5,0.0,0.0,0,6,true
269,-5,5,0.0,0.0,0,1,true
270,5,5,0.0,0.0,0,6,true
271,-2,5,0.0,0.0,0,4,true
272,5,5,0.0,0.0,0,9,true
273,0,5,0.0,0.0,0,9,true
274,-2,5,0.0,0.0,0,7,true
275,0,4,0.0,0.0,0,7,true
276,-5,5,0.0,0.0,0,2,true
277,0,5,0.0,0.0,0,2,true
278,3,5,0.0,0.0,0,5,true
279,1,5,0.0,0.0,0,6,true
280,-4,5,0.0,0.0,0,2,true
281,3,5,0.0,0.0,0,5,true
282,-4,5,0.0,0.0,0,1,true
283,4,5,0.0,0.0,0,5,true
284,1,5,0.0,0.0,0,6,true
285,-4,5,0.0,0.0,0,2,true
286,6,5,0.0,0.0,0,8,true
287,-3,5,0.0,0.0,0,5,true
288,-3,5,0.0,0.0,0,2,true
289,-1,5,0.0,0.0,0,1,true
290,4,5,0.0,0.0,0,5,true
291,3,5,0.0,0.0,0,8,true
292,0,5,0.0,0.0,0,8,true
293,-2,5,0.0,0.0,0,6,true
294,2,5,0.0,0.0,0,8,true
295,-1,5,0.0,0.0,0,7,true
296,-2,5,0.0,0.0,0,5,true
297,-2,5,0.0,0.0,0,3,true
298,3,5,0.0,0.0,0,6,true
299,-1,5,0.0,0.0,0,5,true
300,4,5,0.0,0.0,0,9,true
301,-5,5,0.0,0.0,0,4,true
302,0,5,0.0,0.0,0,4,true
303,0,5,0.0,0.0,0,4,true
304,3,4,0.0,0.0,0,7,true
305,-2,5,0.0,0.0,0,5,true
306,1,5,0.0,0.0,0,6,true
307,-5,5,0.0,0.0,0,1,true
308,5,5,0.0,0.0,0,6,true
309,0,5,0.0,0.0,0,6,true
310,1,5,0.0,0.0,0,7,true
311,-1,5,0.0,0.0,0,6,true
312,-2,5,0.0,0.0,0,4,true
313,0,5,0.0,0.0,0,4,true
314,0,5,0.0,0.0,0,4,true
315,3,5,0.0,0.0,0,7,true
316,1,5,0.0,0.0,0,8,true
317,-6,5,0.0,0.0,0,2,true
318,4,5,0.0,0.0,0,6,true
319,2,5,0.0,0.0,0,8,true
320,-1,5,0.0,0.0,0,7,true
321,-1,5,0.0,0.0,0,6,true
322,3,5,0.0,0.0,0,9,true
323,-3,5,0.0,0.0,0,6,true
324,3,5,0.0,0.0,0,9,true
325,-6,5,0.0,0.0,0,3,true
326,7,5,0.0,0.0,0,10,true
327,-7,4,0.0,0.0,0,3,true
328,1,5,0.0,0.0,0,4,true
329,3,5,0.0,0.0,0,7,true
330,3,5,0.0,0.0,0,10,true
331,-9,5,0.0,0.0,0,1,true
332,7,5,0.0,0.0,0,8,true
333,-4,5,0.0,0.0,0,4,true
334,-1,5,0.0,0.0,0,3,true
335,4,5,0.0,0.0,0,7,true
336,-1,5,0.0,0.0,0,6,true
337,0,5,0.0,0.0,0,6,true
338,-2,5,0.0,0.0,0,4,true
339,-3,5,0.0,0.0,0,1,true
340,2,5,0.0,0.0,0,3,true
341,3,5,0.0,0.0,0,6,true
342,0,5,0.0,0.0,0,6,true
343,-2,5,0.0,0.0,0,4,true
344,5,5,0.0,0.0,0,9,true
345,-3,5,0.0,0.0,0,6,true
346,-4,5,0.0,0.0,0,2,true
347,-1,5,0.0,0.0,0,1,true
348,1,5,0.0,0.0,0,2,true
349,0,5,0.0,0.0,0,2,true
350,8,5,0.0,0.0,0,10,true
351,-2,5,0.0,0.0,0,8,true
352,-7,5,0.0,0.0,0,1,true
353,2,5,0.0,0.0,0,3,true
354,3,5,0.0,0.0,0,6,true
355,2,5,0.0,0.0,0,8,true
356,-7,5,0.0,0.0,0,1,true
357,7,5,0.0,0.0,0,8,true
358,-3,5,0.0,0.0,0,5,true
359,-4,4,0.0,0.0,0,1,true
360,4,5,0.0,0.0,0,5,true
361,-2,5,0.0,0.0,0,3,true
362,5,5,0.0,0.0,0,8,true
363,2,5,0.0,0.0,0,10,true
364,-6,5,0.0,0.0,0,4,true
365,-2,5,0.0,0.0,0,2,true
366,2,5,0.0,0.0,0,4,true
367,3,4,0.0,0.0,0,7,true
368,-3,5,0.0,0.0,0,4,true
369,2,5,0.0,0.0,0,6,true
370,4,5,0.0,0.0,0,10,true
371,-2,5,0.0,0.0,0,8,true
372,-3,5,0.0,0.0,0,5,true
373,4,5,0.0,0.0,0,9,true
374,1,5,0.0,0.0,0,10,true
375,-7,5,0.0,0.0,0,3,true
376,-1,5,0.0,0.0,0,2,true
377,-1,5,0.0,0.0,0,1,true
378,8,5,0.0,0.0,0,9,true
379,-7,5,0.0,0.0,0,2,true
380,7,5,0.0,0.0,0,9,true
381,-5,3,0.0,0.0,0,4,true
382,3,5,0.0,0.0,0,7,true
383,-1,5,0.0,0.0,0,6,true
384,4,5,0.0,0.0,0,10,true
385,0,5,0.0,0.0,0,10,true
386,-5,5,0.0,0.0,0,5,true
387,3,5,0.0,0.0,0,8,true
388,-4,5,0.0,0.0,0,4,true
389,-3,5,0.0,0.0,0,1,true
390,3,5,0.0,0.0,0,4,true
391,4,5,0.0,0.0,0,8,true
392,-1,5,0.0,0.0,0,7,true
393,-3,5,0.0,0.0,0,4,true
394,4,5,0.0,0.0,0,8,true
395,-7,5,0.0,0.0,0,1,true
396,3,5,0.0,0.0,0,4,true
397,-2,5,0.0,0.0,0,2,true
398,7,5,0.0,0.0,0,9,true
399,-8,5,0.0,0.0,0,1,true
400,1,5,0.0,0.0,0,2,true
401,1,5,0.0,0.0,0,3,true
402,4,5,0.0,0.0,0,7,true
403,-6,5,0.0,0.0,0,1,true
404,1,5,0.0,0.0,0,2,true
405,8,5,0.0,0.0,0,10,true
406,-5,5,0.0,0.0,0,5,true
407,1,5,0.0,0.0,0,6,true
408,-5,5,0.0,0.0,0,1,true
409,8,5,0.0,0.0,0,9,true
410,0,5,0.0,0.0,0,9,true
411,-1,5,0.0,0.0,0,8,true
412,-7,4,0.0,0.0,0,1,true
413,5,5,0.0,0.0,0,6,true
414,2,5,0.0,0.0,0,8,true
415,0,5,0.0,0.0,0,8,true
416,2,5,0.0,0.0,0,10,true
417,-4,5,0.0,0.0,0,6,true
418,4,5,0.0,0.0,0,10,true
419,-7,5,0.0,0.0,0,3,true
420,1,5,0.0,0.0,0,4,true
421,3,5,0.0,0.0,0,7,true
422,1,4,0.0,0.0,0,8,true
423,-6,5,0.0,0.0,0,2,true
424,5,5,0.0,0.0,0,7,true
425,-5,5,0.0,0.0,0,2,true
426,4,5,0.0,0.0,0,6,true
427,2,5,0.0,0.0,0,8,true
428,2,4,0.0,0.0,0,10,true
429,0,4,0.0,0.0,0,10,true
430,0,4,0.0,0.0,0,10,true
431,-8,5,0.0,0.0,0,2,true
432,2,4,0.0,0.0,0,4,true
433,0,5,0.0,0.0,0,4,true
434,-3,5,0.0,0.0,0,1,true
435,7,5,0.0,0.0,0,8,true
436,-2,5,0.0,0.0,0,6,true
437,-2,5,0.0,0.0,0,4,true
438,-3,5,0.0,0.0,0,1,true
439,8,5,0.0,0.0,0,9,true
440,-8,5,0.0,0.0,0,1,true
441,4,5,0.0,0.0,0,5,true
442,5,5,0.0,0.0,0,10,true
443,-9,5,0.0,0.0,0,1,true
444,3,5,0.0,0.0,0,4,true
445,-3,5,0.0,0.0,0,1,true
446,8,5,0.0,0.0,0,9,true
447,-5,5,0.0,0.0,0,4,true
448,4,5,0.0,0.0,0,8,true
449,-3,5,0.0,0.0,0,5,true
450,0,5,0.0,0.0,0,5,true
451,-2,5,0.0,0.0,0,3,true
452,5,5,0.0,0.0,0,8,true
453,1,4,0.0,0.0,0,9,true
454,-3,5,0.0,0.0,0,6,true
455,2,5,0.0,0.0,0,8,true
456,-3,5,0.0,0.0,0,5,true
457,4,5,0.0,0.0,0,9,true
458,-1,4,0.0,0.0,0,8,true
459,2,5,0.0,0.0,0,10,true
460,-1,5,0.0,0.0,0,9,true
461,-3,5,0.0,0.0,0,6,true
462,-2,5,0.0,0.0,0,4,true
463,-1,5,0.0,0.0,0,3,true
464,7,5,0.0,0.0,0,10,true
465,-6,5,0.0,0.0,0,4,true
466,4,5,0.0,0.0,0,8,true
467,0,5,0.0,0.0,0,8,true
468,-4,5,0.0,0.0,0,4,true
469,-1,5,0.0,0.0,0,3,true
470,6,5,0.0,0.0,0,9,true
471,-2,5,0.0,0.0,0,7,true
472,-5,4,0.0,0.0,0,2,true
473,5,5,0.0,0.0,0,7,true
474,-1,5,0.0,0.0,0,6,true
475,-3,5,0.0,0.0,0,3,true
476,1,5,0.0,0.0,0,4,true
477,5,5,0.0,0.0,0,9,true
478,1,5,0.0,0.0,0,10,true
479,0,5,0.0,0.0,0,10,true
480,-3,5,0.0,0.0,0,7,true
481,-5,5,0.0,0.0,0,2,true
482,8,5,0.0,0.0,0,10,true
483,-5,5,0.0,0.0,0,5,true
484,-2,5,0.0,0.0,0,3,true
485,4,5,0.0,0.0,0,7,true
486,1,5,0.0,0.0,0,8,true
487,-4,5,0.0,0.0,0,4,true
488,4,5,0.0,0.0,0,8,true
489,0,5,0.0,0.0,0,8,true
490,-3,5,0.0,0.0,0,5,true
491,2,5,0.0,0.0,0,7,true
492,2,5,0.0,0.0,0,9,true
493,-5,5,0.0,0.0,0,4,true
494,1,5,0.0,0.0,0,5,true
495,4,5,0.0,0.0,0,9,true
496,0,5,0.0,0.0,0,9,true
497,-3,5,0.0,0.0,0,6,true
498,4,5,0.0,0.0,0,10,true
499,-2,5,0.0,0.0,0,8,true
500,-4,5,0.0,0.0,0,4,true
501,-3,5,0.0,0.0,0,1,true
502,0,5,0.0,0.0,0,1,true
503,5,5,0.0,0.0,0,6,true
504,-4,5,0.0,0.0,0,2,true
505,7,5,0.0,0.0,0,9,true
506,0,5,0.0,0.0,0,9,true
507,-2,5,0.0,0.0,0,7,true
508,0,5,0.0,0.0,0,7,true
509,-2,4,0.0,0.0,0,5,true
510,2,5,0.0,0.0,0,7,true
511,2,5,0.0,0.0,0,9,true
512,-6,5,0.0,0.0,0,3,true
513,-1,5,0.0,0.0,0,2,true
514,-1,5,0.0,0.0,0,1,true
515,7,5,0.0,0.0,0,8,true
516,1,5,0.0,0.0,0,9,true
517,-3,5,0.0,0.0,0,6,true
518,-5,5,0.0,0.0,0,1,true
519,5,5,0.0,0.0,0,6,true
520,0,5,0.0,0.0,0,6,true
521,-3,5,0.0,0.0,0,3,true
522,5,5,0.0,0.0,0,8,true
523,0,5,0.0,0.0,0,8,true
524,-4,5,0.0,0.0,0,4,true
525,4,5,0.0,0.0,0,8,true
526,1,5,0.0,0.0,0,9,true
527,0,4,0.0,0.0,0,9,true
528,-2,5,0.0,0.0,0,7,true
529,-2,5,0.0,0.0,0,5,true
530,-1,5,0.0,0.0,0,4,true
531,2,5,0.0,0.0,0,6,true
532,1,5,0.0,0.0,0,7,true
533,-2,5,0.0,0.0,0,5,true
534,-4,5,0.0,0.0,0,1,true
535,7,5,0.0,0.0,0,8,true
536,2,5,0.0,0.0,0,10,true
537,0,5,0.0,0.0,0,10,true
538,-9,5,0.0,0.0,0,1,true
539,8,5,0.0,0.0,0,9,true
540,1,5,0.0,0.0,0,10,true
541,-8,5,0.0,0.0,0,2,true
542,8,5,0.0,0.0,0,10,true
543,-2,5,0.0,0.0,0,8,true
544,-7,5,0.0,0.0,0,1,true
545,9,5,0.0,0.0,0,10,true
546,-5,5,0.0,0.0,0,5,true
547,2,5,0.0,0.0,0,7,true
548,3,5,0.0,0.0,0,10,true
549,-7,5,0.0,0.0,0,3,true
550,6,5,0.0,0.0,0,9,true
551,0,5,0.0,0.0,0,9,true
552,-6,4,0.0,0.0,0,3,true
553,0,5,0.0,0.0,0,3,true
554,6,4,0.0,0.0,0,9,true
555,1,4,0.0,0.0,0,10,true
556,-8,5,0.0,0.0,0,2,true
557,2,5,0.0,0.0,0,4,true
558,0,5,0.0,0.0,0,4,true
559,-1,5,0.0,0.0,0,3,true
560,5,5,0.0,0.0,0,8,true
561,-5,5,0.0,0.0,0,3,true
562,7,5,0.0,0.0,0,10,true
563,-3,5,0.0,0.0,0,7,true
564,1,5,0.0,0.0,0,8,true
565,-4,5,0.0,0.0,0,4,true
566,4,5,0.0,0.0,0,8,true
567,0,5,0.0,0.0,0,8,true
568,-5,5,0.0,0.0,0,3,true
569,3,5,0.0,0.0,0,6,true
570,-4,5,0.0,0.0,0,2,true
571,-1,5,0.0,0.0,0,1,true
572,1,5,0.0,0.0,0,2,true
573,8,5,0.0,0.0,0,10,true
574,-3,5,0.0,0.0,0,7,true
575,3,5,0.0,0.0,0,10,true
576,-5,5,0.0,0.0,0,5,true
577,3,5,0.0,0.0,0,8,true
578,-6,5,0.0,0.0,0,2,true
579,8,5,0.0,0.0,0,10,true
580,-4,5,0.0,0.0,0,6,true
581,-1,5,0.0,0.0,0,5,true
582,3,5,0.0,0.0,0,8,true
583,-4,5,0.0,0.0,0,4,true
584,3,5,0.0,0.0,0,7,true
585,-5,5,0.0,0.0,0,2,true
586,8,5,0.0,0.0,0,10,true
587,-6,5,0.0,0.0,0,4,true
588,6,5,0.0,0.0,0,10,true
589,-7,5,0.0,0.0,0,3,true
590,6,5,0.0,0.0,0,9,true
591,-1,5,0.0,0.0,0,8,true
592,-2,5,0.0,0.0,0,6,true
593,-3,5,0.0,0.0,0,3,true
594,0,5,0.0,0.0,0,3,true
595,1,5,0.0,0.0,0,4,true
596,1,5,0.0,0.0,0,5,true
597,4,5,0.0,0.0,0,9,true
598,-8,5,0.0,0.0,0,1,true
599,8,5,0.0,0.0,0,9,true
600,-3,4,0.0,0.0,0,6,true
601,-3,4,0.0,0.0,0,3,true
602,2,5,0.0,0.0,0,5,true
603,-1,5,0.0,0.0,0,4,true
604,3,3,0.0,0.0,0,7,true
605,1,5,0.0,0.0,0,8,true
606,1,4,0.0,0.0,0,9,true
607,0,5,0.0,0.0,0,9,true
608,-3,5,0.0,0.0,0,6,true
609,-2,5,0.0,0.0,0,4,true
610,0,5,0.0,0.0,0,4,true
611,0,5,0.0,0.0,0,4,true
612,6,5,0.0,0.0,0,10,true
613,-5,5,0.0,0.0,0,5,true
614,4,5,0.0,0.0,0,9,true
615,-8,5,0.0,0.0,0,1,true
616,9,5,0.0,0.0,0,10,true
617,-8,5,0.0,0.0,0,2,true
618,1,5,0.0,0.0,0,3,true
619,5,5,0.0,0.0,0,8,true
620,-6,5,0.0,0.0,0,2,true
621,7,5,0.0,0.0,0,9,true
622,-4,5,0.0,0.0,0,5,true
623,2,5,0.0,0.0,0,7,true
624,-3,5,0.0,0.0,0,4,true
625,-2,5,0.0,0.0,0,2,true
626,1,5,0.0,0.0,0,3,true
627,4,5,0.0,0.0,0,7,true
628,-6,5,0.0,0.0,0,1,true
629,2,5,0.0,0.0,0,3,true
630,3,5,0.0,0.0,0,6,true
631,4,5,0.0,0.0,0,10,true
632,0,5,0.0,0.0,0,10,true
633,-4,5,0.0,0.0,0,6,true
634,3,5,0.0,0.0,0,9,true
635,-1,5,0.0,0.0,0,8,true
636,-4,5,0.0,0.0,0,4,true
637,-3,5,0.0,0.0,0,1,true
638,8,5,0.0,0.0,0,9,true
639,-5,5,0.0,0.0,0,4,true
640,5,5,0.0,0.0,0,9,true
641,-2,4,0.0,0.0,0,7,true
642,-5,4,0.0,0.0,0,2,true
643,4,5,0.0,0.0,0,6,true
644,2,5,0.0,0.0,0,8,true
645,1,5,0.0,0.0,0,9,true
646,-8,5,0.0,0.0,0,1,true
647,4,5,0.0,0.0,0,5,true
648,3,5,0.0,0.0,0,8,true
649,-7,5,0.0,0.0,0,1,true
650,7,5,0.0,0.0,0,8,true
651,-5,4,0.0,0.0,0,3,true
652,0,5,0.0,0.0,0,3,true
653,3,5,0.0,0.0,0,6,true
654,0,5,0.0,0.0,0,6,true
655,-4,5,0.0,0.0,0,2,true
656,5,4,0.0,0.0,0,7,true
657,1,5,0.0,0.0,0,8,true
658,1,5,0.0,0.0,0,9,true
659,1,5,0.0,0.0,0,10,true
660,-4,5,0.0,0.0,0,6,true
661,-3,5,0.0,0.0,0,3,true
662,3,5,0.0,0.0,0,6,true
663,-4,5,0.0,0.0,0,2,true
664,5,5,0.0,0.0,0,7,true
665,-2,3,0.0,0.0,0,5,true
666,-4,5,0.0,0.0,0,1,true
667,5,5,0.0,0.0,0,6,true
668,3,5,0.0,0.0,0,9,true
669,-2,5,0.0,0.0,0,7,true
670,-6,5,0.0,0.0,0,1,true
671,2,5,0.0,0.0,0,3,true
672,6,5,0.0,0.0,0,9,true
673,-8,5,0.0,0.0,0,1,true
674,9,5,0.0,0.0,0,10,true
675,-7,5,0.0,0.0,0,3,true
676,0,4,0.0,0.0,0,3,true
677,0,5,0.0,0.0,0,3,true
678,-2,4,0.0,0.0,0,1,true
679,9,5,0.0,0.0,0,10,true
