generation_number,timestamp,execution_duration_ms,episodes_created,discoveries_made,theories_formed,unknowns_resolved,research_debt,research_velocity,replication_success_rate,adaptations_evaluated,adaptations_adopted,adaptations_rejected,adaptation_success_rate,prediction_accuracy,prediction_calibration,prediction_reliability,civilization_adaptation_index,scientific_capital,institution_diversity,method_diversity,collaboration_density,resource_utilization,budget_remaining,credits_spent,canonical_transaction_count,stage3_results_count,stage4_results_count,stage5_result_id,constitutional_violations,lifecycle_completeness_pct,rollback_frequency
1,2026-06-30T17:36:44.504000Z,18,200,11,11,9,0,11.0,0.9494639989524257,20,0,20,0.0,0.0063,0.994,1.0,0.0,1485.33,1.0,0.8186880194645313,0.224,%{cpu_percent: 45.0; memory_mb: 512},998120,1880,3,8,20,civ_adapt_gen1,0,100.0,0.05
10,2026-06-30T17:41:48.428000Z,3,200,13,13,6,0,13.0,0.8229331727322092,20,0,20,0.0,0.0066,0.993,1.0,0.0,1623.18,1.0,0.8665912451585877,0.362,%{cpu_percent: 45.0; memory_mb: 512},976156,2868,3,7,20,civ_adapt_gen10,0,100.0,0.05
1,2026-06-30T17:44:54.237000Z,5,200,21,21,13,0,21.0,0.9494639989524257,20,0,20,0.0,0.0063,0.994,1.0,0.0,2635.25,1.0,0.8186880194645313,0.224,%{cpu_percent: 45.0; memory_mb: 512},998120,1880,3,8,20,civ_adapt_gen1,0,100.0,0.05
2,2026-06-30T17:44:54.255000Z,3,200,22,22,5,0,22.0,0.8260718163964186,20,0,20,0.0,0.0056,0.994,1.0,0.0,2286.52,1.0,0.8409803629877418,0.391,%{cpu_percent: 45.0; memory_mb: 512},995196,2924,3,5,20,civ_adapt_gen2,0,100.0,0.05
3,2026-06-30T17:44:54.280000Z,5,200,11,11,7,0,11.0,0.9481716209836315,20,0,20,0.0,0.0058,0.994,1.0,0.0,1405.39,1.0,0.8268807443756635,0.256,%{cpu_percent: 45.0; memory_mb: 512},992074,3122,3,7,20,civ_adapt_gen3,0,100.0,0.05
4,2026-06-30T17:44:54.299000Z,12,200,18,18,4,1,18.0,0.8864297925577234,20,0,20,0.0,0.006,0.994,1.0,0.0,2040.09,1.0,0.873110997881981,0.409,%{cpu_percent: 45.0; memory_mb: 512},990637,1437,3,4,20,civ_adapt_gen4,0,100.0,0.05
5,2026-06-30T17:44:54.319000Z,2,200,13,13,9,0,13.0,0.8610910145766845,20,0,20,0.0,0.0067,0.993,1.0,0.0,1918.17,1.0,0.8228090173539859,0.419,%{cpu_percent: 45.0; memory_mb: 512},988347,2290,3,6,20,civ_adapt_gen5,0,100.0,0.05
6,2026-06-30T17:44:54.325000Z,3,200,11,11,12,0,11.0,0.8047741537042399,20,0,20,0.0,0.0063,0.994,1.0,0.0,1756.93,1.0,0.6543873826527263,0.438,%{cpu_percent: 45.0; memory_mb: 512},985595,2752,3,3,20,civ_adapt_gen6,0,100.0,0.05
7,2026-06-30T17:44:54.352000Z,12,200,17,17,8,0,17.0,0.8160156595994106,20,0,20,0.0,0.0068,0.993,1.0,0.0,2184.53,1.0,0.6657707877675052,0.33,%{cpu_percent: 45.0; memory_mb: 512},983464,2131,3,8,20,civ_adapt_gen7,0,100.0,0.05
8,2026-06-30T17:44:54.359000Z,2,200,22,22,4,1,22.0,0.8641472821896193,20,0,20,0.0,0.0068,0.993,1.0,0.0,2161.58,1.0,0.6518144439842488,0.403,%{cpu_percent: 45.0; memory_mb: 512},980628,2836,3,4,20,civ_adapt_gen8,0,100.0,0.05
9,2026-06-30T17:44:54.385000Z,2,200,12,12,12,0,12.0,0.880223158518078,20,0,20,0.0,0.0076,0.992,1.0,0.0,1689.5,1.0,0.7952788583968803,0.499,%{cpu_percent: 45.0; memory_mb: 512},979024,1604,3,6,20,civ_adapt_gen9,0,100.0,0.05
10,2026-06-30T17:44:54.402000Z,3,200,24,24,6,0,24.0,0.8229331727322092,20,0,20,0.0,0.0066,0.993,1.0,0.0,2739.11,1.0,0.8665912451585877,0.362,%{cpu_percent: 45.0; memory_mb: 512},976156,2868,3,7,20,civ_adapt_gen10,0,100.0,0.05
1,2026-06-30T17:45:56.514000Z,9,200,21,21,13,0,21.0,0.9494639989524257,20,0,20,0.0,0.0063,0.994,1.0,0.0,2635.25,1.0,0.8186880194645313,0.224,%{cpu_percent: 45.0; memory_mb: 512},998120,1880,3,8,20,civ_adapt_gen1,0,100.0,0.05
2,2026-06-30T17:45:56.526000Z,6,200,22,22,5,0,22.0,0.8260718163964186,20,0,20,0.0,0.0056,0.994,1.0,0.0,2286.52,1.0,0.8409803629877418,0.391,%{cpu_percent: 45.0; memory_mb: 512},995196,2924,3,5,20,civ_adapt_gen2,0,100.0,0.05
3,2026-06-30T17:45:56.546000Z,8,200,11,11,7,0,11.0,0.9481716209836315,20,0,20,0.0,0.0058,0.994,1.0,0.0,1405.39,1.0,0.8268807443756635,0.256,%{cpu_percent: 45.0; memory_mb: 512},992074,3122,3,7,20,civ_adapt_gen3,0,100.0,0.05
4,2026-06-30T17:45:56.560000Z,4,200,18,18,4,1,18.0,0.8864297925577234,20,0,20,0.0,0.006,0.994,1.0,0.0,2040.09,1.0,0.873110997881981,0.409,%{cpu_percent: 45.0; memory_mb: 512},990637,1437,3,4,20,civ_adapt_gen4,0,100.0,0.05
5,2026-06-30T17:45:56.570000Z,3,200,13,13,9,0,13.0,0.8610910145766845,20,0,20,0.0,0.0067,0.993,1.0,0.0,1918.17,1.0,0.8228090173539859,0.419,%{cpu_percent: 45.0; memory_mb: 512},988347,2290,3,6,20,civ_adapt_gen5,0,100.0,0.05
6,2026-06-30T17:45:56.593000Z,2,200,11,11,12,0,11.0,0.8047741537042399,20,0,20,0.0,0.0063,0.994,1.0,0.0,1756.93,1.0,0.6543873826527263,0.438,%{cpu_percent: 45.0; memory_mb: 512},985595,2752,3,3,20,civ_adapt_gen6,0,100.0,0.05
7,2026-06-30T17:45:56.599000Z,4,200,17,17,8,0,17.0,0.8160156595994106,20,0,20,0.0,0.0068,0.993,1.0,0.0,2184.53,1.0,0.6657707877675052,0.33,%{cpu_percent: 45.0; memory_mb: 512},983464,2131,3,8,20,civ_adapt_gen7,0,100.0,0.05
8,2026-06-30T17:45:56.613000Z,3,200,22,22,4,1,22.0,0.8641472821896193,20,0,20,0.0,0.0068,0.993,1.0,0.0,2161.58,1.0,0.6518144439842488,0.403,%{cpu_percent: 45.0; memory_mb: 512},980628,2836,3,4,20,civ_adapt_gen8,0,100.0,0.05
9,2026-06-30T17:45:56.626000Z,3,200,12,12,12,0,12.0,0.880223158518078,20,0,20,0.0,0.0076,0.992,1.0,0.0,1689.5,1.0,0.7952788583968803,0.499,%{cpu_percent: 45.0; memory_mb: 512},979024,1604,3,6,20,civ_adapt_gen9,0,100.0,0.05
10,2026-06-30T17:45:56.637000Z,3,200,24,24,6,0,24.0,0.8229331727322092,20,0,20,0.0,0.0066,0.993,1.0,0.0,2739.11,1.0,0.8665912451585877,0.362,%{cpu_percent: 45.0; memory_mb: 512},976156,2868,3,7,20,civ_adapt_gen10,0,100.0,0.05
