generation_number,timestamp,execution_duration_ms,episodes_created,discoveries_made,theories_formed,unknowns_resolved,research_debt,research_velocity,replication_success_rate,adaptations_evaluated,adaptations_adopted,adaptations_rejected,adaptation_success_rate,prediction_accuracy,prediction_calibration,prediction_reliability,civilization_adaptation_index,scientific_capital,institution_diversity,method_diversity,collaboration_density,resource_utilization,budget_remaining,credits_spent,canonical_transaction_count,stage3_results_count,stage4_results_count,stage5_result_id,constitutional_violations,lifecycle_completeness_pct,rollback_frequency
1,2026-06-30T17:36:45.054000Z,9,200,13,13,7,0,13.0,0.8108493565454291,20,0,20,0.0,0.0073,0.993,1.0,0.0,1701.07,1.0,0.6855513520305987,0.404,%{cpu_percent: 45.0; memory_mb: 512},998660,1340,3,6,20,civ_adapt_gen1,0,100.0,0.05
2,2026-06-30T17:41:48.684000Z,2,200,13,13,5,0,13.0,0.9160979833485241,20,0,20,0.0,0.007,0.993,1.0,0.0,1445.66,1.0,0.7099706149110588,0.29,%{cpu_percent: 45.0; memory_mb: 512},996860,1800,3,5,20,civ_adapt_gen2,0,100.0,0.05
3,2026-06-30T17:41:48.690000Z,3,200,12,12,5,0,12.0,0.8904300772261247,20,0,20,0.0,0.0081,0.992,1.0,0.0,1335.35,1.0,0.7498609375017938,0.257,%{cpu_percent: 45.0; memory_mb: 512},994279,2581,3,3,20,civ_adapt_gen3,0,100.0,0.05
4,2026-06-30T17:41:48.706000Z,2,200,12,12,5,0,12.0,0.9032541754131556,20,0,20,0.0,0.0071,0.993,1.0,0.0,1463.66,1.0,0.6595361483152751,0.287,%{cpu_percent: 45.0; memory_mb: 512},991386,2893,3,8,20,civ_adapt_gen4,0,100.0,0.05
5,2026-06-30T17:41:48.736000Z,7,200,8,8,7,0,8.0,0.8886039818370295,20,0,20,0.0,0.0068,0.993,1.0,0.0,1204.56,1.0,0.7902979684832796,0.405,%{cpu_percent: 45.0; memory_mb: 512},989399,1987,3,5,20,civ_adapt_gen5,0,100.0,0.05
6,2026-06-30T17:41:48.756000Z,3,200,8,8,9,0,8.0,0.929939884056969,20,0,20,0.0,0.0062,0.994,1.0,0.0,1177.2,1.0,0.8916762805892449,0.427,%{cpu_percent: 45.0; memory_mb: 512},987274,2125,3,3,20,civ_adapt_gen6,0,100.0,0.05
7,2026-06-30T17:41:48.763000Z,3,200,9,9,5,0,9.0,0.9238840323013893,20,0,20,0.0,0.007,0.993,1.0,0.0,1040.62,1.0,0.7526403388292723,0.417,%{cpu_percent: 45.0; memory_mb: 512},984411,2863,3,7,20,civ_adapt_gen7,0,100.0,0.05
8,2026-06-30T17:41:48.800000Z,12,200,11,11,7,0,11.0,0.931251785711664,20,0,20,0.0,0.0076,0.992,1.0,0.0,1564.43,1.0,0.7290022051062288,0.243,%{cpu_percent: 45.0; memory_mb: 512},981964,2447,3,7,20,civ_adapt_gen8,0,100.0,0.05
9,2026-06-30T17:41:48.822000Z,5,200,9,9,10,0,9.0,0.813948631482315,20,0,20,0.0,0.0075,0.993,1.0,0.0,1314.59,1.0,0.8946362977796296,0.412,%{cpu_percent: 45.0; memory_mb: 512},979583,2381,3,3,20,civ_adapt_gen9,0,100.0,0.05
10,2026-06-30T17:41:48.841000Z,5,200,10,10,9,0,10.0,0.9162958804423645,20,0,20,0.0,0.0063,0.994,1.0,0.0,1569.19,1.0,0.8178070230761375,0.408,%{cpu_percent: 45.0; memory_mb: 512},978202,1381,3,4,20,civ_adapt_gen10,0,100.0,0.05
1,2026-06-30T17:44:54.592000Z,6,200,26,26,8,0,26.0,0.8108493565454291,20,0,20,0.0,0.0073,0.993,1.0,0.0,3092.86,1.0,0.6855513520305987,0.404,%{cpu_percent: 45.0; memory_mb: 512},998660,1340,3,6,20,civ_adapt_gen1,0,100.0,0.05
2,2026-06-30T17:44:54.604000Z,8,200,25,25,4,0,25.0,0.9160979833485241,20,0,20,0.0,0.007,0.993,1.0,0.0,2518.24,1.0,0.7099706149110588,0.29,%{cpu_percent: 45.0; memory_mb: 512},996860,1800,3,5,20,civ_adapt_gen2,0,100.0,0.05
3,2026-06-30T17:44:54.615000Z,3,200,21,21,5,0,21.0,0.8904300772261247,20,0,20,0.0,0.0081,0.992,1.0,0.0,2164.18,1.0,0.7498609375017938,0.257,%{cpu_percent: 45.0; memory_mb: 512},994279,2581,3,3,20,civ_adapt_gen3,0,100.0,0.05
4,2026-06-30T17:44:54.627000Z,2,200,22,22,4,0,22.0,0.9032541754131556,20,0,20,0.0,0.0071,0.993,1.0,0.0,2422.61,1.0,0.6595361483152751,0.287,%{cpu_percent: 45.0; memory_mb: 512},991386,2893,3,8,20,civ_adapt_gen4,0,100.0,0.05
5,2026-06-30T17:44:54.638000Z,2,200,11,11,8,0,11.0,0.8886039818370295,20,0,20,0.0,0.0068,0.993,1.0,0.0,1571.16,1.0,0.7902979684832796,0.405,%{cpu_percent: 45.0; memory_mb: 512},989399,1987,3,5,20,civ_adapt_gen5,0,100.0,0.05
6,2026-06-30T17:44:54.652000Z,3,200,10,10,10,0,10.0,0.929939884056969,20,0,20,0.0,0.0062,0.994,1.0,0.0,1412.65,1.0,0.8916762805892449,0.427,%{cpu_percent: 45.0; memory_mb: 512},987274,2125,3,3,20,civ_adapt_gen6,0,100.0,0.05
7,2026-06-30T17:44:54.683000Z,2,200,14,14,5,0,14.0,0.9238840323013893,20,0,20,0.0,0.007,0.993,1.0,0.0,1493.06,1.0,0.7526403388292723,0.417,%{cpu_percent: 45.0; memory_mb: 512},984411,2863,3,7,20,civ_adapt_gen7,0,100.0,0.05
8,2026-06-30T17:44:54.688000Z,3,200,19,19,8,0,19.0,0.931251785711664,20,0,20,0.0,0.0076,0.992,1.0,0.0,2481.51,1.0,0.7290022051062288,0.243,%{cpu_percent: 45.0; memory_mb: 512},981964,2447,3,7,20,civ_adapt_gen8,0,100.0,0.05
9,2026-06-30T17:44:54.700000Z,3,200,13,13,14,0,13.0,0.813948631482315,20,0,20,0.0,0.0075,0.993,1.0,0.0,1877.99,1.0,0.8946362977796296,0.412,%{cpu_percent: 45.0; memory_mb: 512},979583,2381,3,3,20,civ_adapt_gen9,0,100.0,0.05
10,2026-06-30T17:44:54.716000Z,2,200,16,16,11,0,16.0,0.9162958804423645,20,0,20,0.0,0.0063,0.994,1.0,0.0,2326.73,1.0,0.8178070230761375,0.408,%{cpu_percent: 45.0; memory_mb: 512},978202,1381,3,4,20,civ_adapt_gen10,0,100.0,0.05
1,2026-06-30T17:45:56.834000Z,10,200,26,26,8,0,26.0,0.8108493565454291,20,0,20,0.0,0.0073,0.993,1.0,0.0,3092.86,1.0,0.6855513520305987,0.404,%{cpu_percent: 45.0; memory_mb: 512},998660,1340,3,6,20,civ_adapt_gen1,0,100.0,0.05
2,2026-06-30T17:45:56.849000Z,5,200,25,25,4,0,25.0,0.9160979833485241,20,0,20,0.0,0.007,0.993,1.0,0.0,2518.24,1.0,0.7099706149110588,0.29,%{cpu_percent: 45.0; memory_mb: 512},996860,1800,3,5,20,civ_adapt_gen2,0,100.0,0.05
3,2026-06-30T17:45:56.860000Z,2,200,21,21,5,0,21.0,0.8904300772261247,20,0,20,0.0,0.0081,0.992,1.0,0.0,2164.18,1.0,0.7498609375017938,0.257,%{cpu_percent: 45.0; memory_mb: 512},994279,2581,3,3,20,civ_adapt_gen3,0,100.0,0.05
4,2026-06-30T17:45:56.872000Z,3,200,22,22,4,0,22.0,0.9032541754131556,20,0,20,0.0,0.0071,0.993,1.0,0.0,2422.61,1.0,0.6595361483152751,0.287,%{cpu_percent: 45.0; memory_mb: 512},991386,2893,3,8,20,civ_adapt_gen4,0,100.0,0.05
5,2026-06-30T17:45:56.888000Z,3,200,11,11,8,0,11.0,0.8886039818370295,20,0,20,0.0,0.0068,0.993,1.0,0.0,1571.16,1.0,0.7902979684832796,0.405,%{cpu_percent: 45.0; memory_mb: 512},989399,1987,3,5,20,civ_adapt_gen5,0,100.0,0.05
6,2026-06-30T17:45:56.902000Z,3,200,10,10,10,0,10.0,0.929939884056969,20,0,20,0.0,0.0062,0.994,1.0,0.0,1412.65,1.0,0.8916762805892449,0.427,%{cpu_percent: 45.0; memory_mb: 512},987274,2125,3,3,20,civ_adapt_gen6,0,100.0,0.05
7,2026-06-30T17:45:56.919000Z,3,200,14,14,5,0,14.0,0.9238840323013893,20,0,20,0.0,0.007,0.993,1.0,0.0,1493.06,1.0,0.7526403388292723,0.417,%{cpu_percent: 45.0; memory_mb: 512},984411,2863,3,7,20,civ_adapt_gen7,0,100.0,0.05
8,2026-06-30T17:45:56.935000Z,3,200,19,19,8,0,19.0,0.931251785711664,20,0,20,0.0,0.0076,0.992,1.0,0.0,2481.51,1.0,0.7290022051062288,0.243,%{cpu_percent: 45.0; memory_mb: 512},981964,2447,3,7,20,civ_adapt_gen8,0,100.0,0.05
9,2026-06-30T17:45:56.956000Z,6,200,13,13,14,0,13.0,0.813948631482315,20,0,20,0.0,0.0075,0.993,1.0,0.0,1877.99,1.0,0.8946362977796296,0.412,%{cpu_percent: 45.0; memory_mb: 512},979583,2381,3,3,20,civ_adapt_gen9,0,100.0,0.05
10,2026-06-30T17:45:56.969000Z,2,200,16,16,11,0,16.0,0.9162958804423645,20,0,20,0.0,0.0063,0.994,1.0,0.0,2326.73,1.0,0.8178070230761375,0.408,%{cpu_percent: 45.0; memory_mb: 512},978202,1381,3,4,20,civ_adapt_gen10,0,100.0,0.05
